Timestamp, Pad 0, Pad 1, Pad 2, Pad 3, Pad 4, Pad 5
1879.1075,43482,44159,43495,46074,46754,50781
2876.1646,43523,44174,43505,46089,46754,50803
3889.2225,43541,44187,43521,46091,46743,50805
4899.2803,43524,44179,43511,46087,46749,50807
5915.3384,43507,44175,43508,46087,46747,50809
6928.3963,43541,44170,43514,46069,46724,50815
7942.4543,43485,44156,43495,46068,46748,50806
8956.5123,43558,44182,43507,46097,46751,50809
9971.5704,43514,44169,43514,46110,46759,50816
10983.6283,43483,44180,43515,46082,46739,50799
11997.6863,43492,44169,43506,46065,46745,50809
13011.7443,43487,44174,43504,46078,46738,50813
14026.8023,43543,44178,43521,46095,46750,50821
15039.8603,43496,44164,43505,46082,46738,50801
16056.9185,43522,44159,43501,46067,46726,50740
17068.9763,43497,44157,43498,46070,45982,49827
18085.0345,43492,44143,43476,45507,45508,49814
19099.0925,43423,44114,43399,44954,45509,49810
20111.1503,43454,44112,43025,44959,45520,49817
21127.2085,43409,43338,42476,44927,45521,49814
22137.2662,43415,44108,42777,44948,45516,49814
23152.3243,43458,43535,42482,44932,45507,49798
24167.3823,43421,43315,42470,44925,45514,49810
25180.4403,43428,43377,42449,44917,45515,49817
26193.4982,43499,44123,43453,45039,45518,49810
27207.5562,43460,44117,43417,45006,45522,49825
28220.6142,43536,44141,43491,45883,45543,49814
29236.6723,43507,44139,43491,46066,46082,49840
30249.7302,43488,44171,43508,46080,46361,49834
31263.7882,43517,44167,43509,46077,46701,49897
32277.8462,43505,44167,43500,46075,46717,49942
33291.9042,43527,44164,43505,46088,46741,50131
34304.9622,43539,44173,43517,46085,46760,50260
35319.0202,43500,44164,43509,46087,46744,50301
36336.0784,43536,44149,43518,46099,46744,50437
37348.1362,43520,44179,43513,46087,46746,50493
38361.1942,43501,44174,43506,46087,46738,50551
39375.2522,43518,44179,43514,46092,46745,50579
40390.3102,43502,44179,43524,46088,46745,50635
41406.3684,43506,44153,43484,46067,46706,50615
42417.4262,43493,44183,43524,46100,46752,50681
43432.4842,43559,44180,43510,46085,46741,50675
44446.5422,43543,44179,43524,46101,46762,50697
45461.6003,43553,44177,43509,46088,46746,50688
46473.6582,43452,44135,42891,44950,45515,49815
47487.7162,43495,44101,42578,44940,45514,49814
48501.7742,43507,44127,43481,45197,45526,49818
49514.8321,43496,44106,43292,44949,45519,49798
50530.8902,43476,44128,43451,45008,45506,49805
51543.9482,43495,44106,43484,45982,45581,49804
